,age,bmi,children,charges,sex_female,sex_male,smoker_no,smoker_yes,region_northeast,region_northwest,region_southeast,region_southwest
21,-0.6460197805821327,0.27116316503471183,1,-0.7556304851354955,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
22,-1.4980975946258075,0.5459660686427804,0,-1.0072340632840573,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
23,-0.3619938425675745,0.19357175695714018,1,2.046430333500241,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
24,-0.1489743890566558,-0.4360501898389928,2,-0.5840796622723984,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
25,1.4131682700234147,-0.48535306372161674,3,0.06709543118440435,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
26,1.697194208037973,-1.2345950979706726,0,0.10473513355896147,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
28,-1.1430651721076097,-2.155993068891842,1,-0.8704236212438691,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
29,-0.5750132960784932,0.9015933556649854,2,2.130705867414796,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
30,-1.2140716566112493,0.7884392188851934,0,1.869690387531504,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
32,-1.427091110122168,-0.343102148912734,5,-0.7106950619348403,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
33,1.697194208037973,-0.3899802912929343,0,0.047800786263021526,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
35,-1.427091110122168,-1.6645808177338852,0,-0.9664441101522047,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
36,1.6261877235343334,0.3624947182926882,3,0.20164085016237673,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
37,-0.930045718596691,-1.6039625301732818,0,-0.9099165577111424,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
38,-0.29098735806393494,0.9614033993914481,1,2.2195039228764006,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
40,-1.0720586876039702,-0.6663996825692847,0,-0.847802298862117,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
41,-0.5750132960784932,0.9549374487183172,2,-0.6888176914287769,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
42,0.13505154895790247,-1.445546738681572,1,-0.5783526780328319,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
43,-0.1489743890566558,0.012525138109471635,2,-0.5749050853742211,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
44,-0.07796790455301622,1.0228299307861919,1,-0.5944545804658247,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
46,-1.4980975946258075,1.283892689213857,2,-0.8187984896426299,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
48,1.4841747545270543,-1.0010126299038147,0,-0.047421546252984524,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
49,-0.21998087356029536,0.7237797121538835,1,2.1305535385674754,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
50,-1.4980975946258075,0.7924804380559001,0,-0.9175304320332665,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
51,-1.2850781411148888,0.4699911482334912,2,-0.8032255082102818,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
56,1.3421617855197752,0.17821512410845364,2,0.03421068547085686,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
57,-1.4980975946258075,0.15477605291835378,2,1.7625917832018017,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
59,-0.3619938425675745,1.0688998293322511,2,-0.6019831539739942,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
60,0.2770645179651816,-0.5435466197797958,3,-0.3834535801101406,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
62,1.7682006925416125,-0.9735323395430082,1,1.417133589329157,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
63,-0.7880327495894119,-0.7738961125100883,1,-0.756974582604722,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
64,-1.3560846256185284,-1.3420915279114756,0,0.12644104642248605,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
65,-1.427091110122168,-0.29460751886425185,0,-0.95660785482348,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
66,1.5551812390306938,1.3542099027841572,2,0.08663245769217855,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
67,0.06404506445426292,-0.7124695811153432,1,-0.5685898812864005,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
68,0.06404506445426292,0.8838119913138753,0,-0.6077806320622575,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
69,-0.7880327495894119,-1.0899194516593662,3,0.3729231850807095,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
70,-0.8590392340930515,-0.9654499012015944,0,0.28228044732132557,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
71,-0.5750132960784932,-0.3592670255955618,5,-0.5343426024714741,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
72,0.9871293630015773,-0.4239265323268717,3,-0.121595898750047,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
73,1.3421617855197752,0.20812014597168438,1,-0.10448396586460869,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
74,0.34807100246882117,-0.5370806691066649,2,-0.45689240308033696,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
76,-0.7170262650857724,-0.18306986975274167,1,-0.7725272034159205,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
77,-1.2850781411148888,0.7771238052072141,0,-0.9742078747238738,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
78,-1.2140716566112493,1.468172283398091,0,-0.872108191224717,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
79,0.13505154895790247,0.3624947182926882,0,-0.5534199240688772,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
81,0.4190774869724608,1.222466157819112,0,-0.43948506163394263,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
82,-1.2140716566112493,1.114969727878309,1,2.001607486662628,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
83,0.6320969404833795,1.6985217761283828,4,-0.18072891335949748,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
84,-0.1489743890566558,0.6591202054225724,2,2.224702036223496,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
86,1.2711553010161356,0.07071869416765067,0,2.5372451204997484,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
87,1.200148816512496,-0.5694104224723199,0,-0.1774289310285395,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
88,0.49008397147610033,-0.4821200883850513,0,-0.43185396680287275,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
89,1.1291423320088565,-0.6049731511745402,0,-0.17664380276130956,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
90,-1.2850781411148888,1.4172529218471845,0,-0.9329100209701434,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
91,0.9871293630015773,-0.9581757066943217,1,-0.1883728859911468,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
93,-0.29098735806393494,0.6542707424177252,2,-0.623739985093117,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
94,1.7682006925416125,0.09334952152360931,2,2.8472573411508515,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
95,-0.7880327495894119,1.114969727878309,1,-0.7876038592144601,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
96,1.058135847505217,0.012525138109471635,3,-0.09123084671464783,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
97,1.1291423320088565,1.2216579139849713,0,-0.24815593305649625,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
98,1.200148816512496,-1.7413639819773161,0,0.7695714939412861,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
99,-0.07796790455301622,-1.846435680415695,0,0.21905391229190793,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
100,0.13505154895790247,0.14184415157209204,0,-0.5855640960327635,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
101,-0.6460197805821327,-0.8506792767535187,0,-0.7977753507506797,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
102,-1.4980975946258075,-0.09820426716789735,0,0.6803954975813544,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
103,1.5551812390306938,-0.12972577669941052,3,1.481904552635024,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
104,-0.3619938425675745,-0.5209157924238371,1,-0.6843000804827257,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
105,-1.3560846256185284,-0.4360501898389928,1,0.3643409536037348,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
106,-1.427091110122168,-0.3754319022783896,1,-0.907476373177233,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
107,-0.930045718596691,0.02464879562159217,2,-0.7783822474441279,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
109,1.697194208037973,0.7059983478027734,0,2.8275879706056055,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
110,1.058135847505217,0.4699911482334912,1,-0.198133820383798,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
111,1.1291423320088565,-0.16528850540163148,2,-0.10993472462229227,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
112,-0.1489743890566558,0.012525138109471635,0,-0.7141222939723018,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
113,-1.2850781411148888,0.807837070904586,0,-0.9013619400134256,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
114,0.9161228784979377,0.2396416555031981,3,-0.14275900647319725,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
115,1.4841747545270543,-0.3439103927468758,0,1.4249318734215233,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
116,1.3421617855197752,2.9642316203937797,0,-0.15169425838356443,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
117,-0.7170262650857724,-0.44979033501939575,1,0.49356992043162257,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
118,0.703103424987019,-0.5742598854771678,0,-0.383861803047962,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
119,-0.1489743890566558,-1.1885251994246142,2,-0.5437818716202759,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
120,0.34807100246882117,1.0309123691276065,2,-0.45576638890905447,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
121,-1.4980975946258075,-1.1270986680298698,0,-0.9597470901339764,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
122,-1.3560846256185284,-0.28248386135213077,0,-0.9136600349583572,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
123,0.34807100246882117,0.1014319598650232,1,2.2013161758581252,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
125,-0.930045718596691,-0.3131971270495033,0,-0.8194630242390647,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
126,-1.427091110122168,-0.39159677896121675,0,0.3243128952493511,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
127,0.9161228784979377,1.0794069991760886,0,-0.2975748017802644,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
128,-0.5040068115748536,-2.0945665374970974,2,1.6315605047124766,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
129,-0.07796790455301622,0.6429553287397458,2,-0.5942262959789004,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
130,1.4131682700234147,-0.6817563154179712,0,-0.03192573975912801,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
131,1.5551812390306938,-1.4035180593062206,0,0.0349614604094984,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
132,0.9871293630015773,0.8369338489336756,2,-0.1698799676694527,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
133,-1.427091110122168,-0.8353226439048327,0,-0.965848599564712,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
134,-1.3560846256185284,-0.3131971270495033,0,-0.8969793664191698,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
135,-1.2140716566112493,-0.4320089706682856,0,-0.9221611997620349,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
136,-1.427091110122168,0.5459660686427804,0,-0.9968423797309272,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
137,-1.2140716566112493,-0.8967491752995772,0,-0.9313473850537306,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
138,1.058135847505217,0.1903387816205742,3,1.1796305088168122,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
139,-1.2140716566112493,0.8530987256165034,0,-0.9212383324773241,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
143,-0.7170262650857724,-0.1596307985626418,2,0.41424002983218167,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
144,-0.6460197805821327,-0.32855375989818925,3,0.6303827300830065,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
145,-0.7170262650857724,1.3105647357405223,3,-0.6730755406271447,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
146,0.49008397147610033,-0.0367777357731523,3,2.2985307550670706,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
147,0.8451163939942982,1.1327510922294193,1,-0.2772751706292309,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
148,0.9871293630015773,1.084256462180937,1,-0.18690616547009994,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
149,-1.427091110122168,-0.3754319022783896,1,-0.9483145345476357,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
150,-0.29098735806393494,-1.0656721366351252,1,-0.6741646417773112,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
151,0.6320969404833795,-0.16528850540163148,0,-0.4516493343502853,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
153,0.20605803346154206,-1.1885251994246142,0,0.5651383138542431,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
154,0.06404506445426292,-0.8506792767535187,1,-0.5111482471937074,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
155,0.34807100246882117,1.422102384852033,0,-0.5218787956212272,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
157,-1.4980975946258075,-0.8967491752995772,0,0.19378947562509286,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
158,-0.6460197805821327,0.7771238052072141,0,1.983659816254764,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
160,0.20605803346154206,-0.6663996825692847,0,0.6807178017044153,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
162,1.058135847505217,1.4350342861982948,1,-0.2294265166831114,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
163,-0.5040068115748536,-0.14912362871880372,2,-0.6719165970345363,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
164,-0.1489743890566558,-0.1749874314113278,0,-0.6822712339447544,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
165,0.5610904559797399,-0.40533692414162026,4,-0.23305653232288673,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
166,-1.3560846256185284,1.0147474924447788,5,-0.6987665607016733,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
167,-0.5040068115748536,0.39320798399006013,3,-0.5903518944257954,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
168,-1.427091110122168,0.17821512410845364,1,-0.8750930683068681,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
169,-0.8590392340930515,-1.9102869433128635,3,-0.698994139498488,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
170,1.697194208037973,1.7373174801671694,0,0.017342733457679248,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
171,0.703103424987019,-0.06829924530466604,0,-0.42433662170123954,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
172,-1.4980975946258075,-2.3863425616221345,0,-0.960651383989058,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
173,-0.29098735806393494,0.6591202054225724,1,-0.6640735822108581,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
174,-1.0720586876039702,0.4239212496874321,0,-0.8637220372061747,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
175,1.697194208037973,1.1279016292245718,0,2.9753167122235893,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
176,-0.07796790455301622,-0.4667634555363648,2,-0.5630374948015764,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
177,1.058135847505217,-0.24611288881576915,1,-0.23063378960902253,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
178,0.49008397147610033,-0.29460751886425185,2,-0.3653259796027421,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
179,0.13505154895790247,0.39320798399006013,3,-0.38912657279280316,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
180,1.3421617855197752,-0.3439103927468758,0,-0.12208419872473968,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
181,-1.4980975946258075,1.2216579139849713,0,-0.9659106710645863,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
182,-1.2140716566112493,-1.7413639819773161,3,-0.7676826282866767,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
183,0.34807100246882117,-0.6971129482666573,0,-0.48256249464108353,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
185,-0.21998087356029536,1.806018206069187,3,2.5518096999952884,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
187,-0.6460197805821327,0.028690014792298824,3,-0.6574255638105932,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
188,0.13505154895790247,0.23883341166905747,1,-0.5363049220578143,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
189,-0.7170262650857724,0.22428502265451214,2,-0.691059430893058,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
190,1.5551812390306938,0.1369946885672436,0,-0.05345886293783593,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
191,-0.21998087356029536,-0.7310591893005952,0,-0.6943206294977576,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
193,1.200148816512496,-0.6663996825692847,1,-0.09632334038345025,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
194,-1.4980975946258075,0.599310161696111,0,-1.0071957555854467,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
195,-1.427091110122168,-0.021421102924466327,0,-0.9652641169510618,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
196,-0.006961420049376656,0.33582267176602176,0,-0.6303618052700243,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
197,0.4190774869724608,-0.343102148912734,2,-0.3909187291977523,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
199,1.7682006925416125,1.39138911915466,0,0.14228966874135987,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
200,-1.427091110122168,0.22428502265451214,0,-0.9242495079991796,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
201,0.6320969404833795,0.24368287467390476,1,-0.3613279570100287,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
203,-0.8590392340930515,0.8660306269627651,0,1.9989963831490443,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
205,-0.7880327495894119,-0.2978404942008173,1,-0.7399299909287333,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
206,1.4131682700234147,-0.6987294359349403,0,-0.12146453182195772,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
207,-0.29098735806393494,-0.4821200883850513,2,0.6502676993959291,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
208,1.697194208037973,0.17417390493774698,0,0.057058363174855166,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
209,0.06404506445426292,1.6985217761283828,1,-0.5501557649062624,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
210,-1.3560846256185284,0.3681524251316773,1,-0.9368271522681669,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
212,-1.0720586876039702,-0.3592670255955618,2,-0.8067435780148651,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
213,-0.3619938425675745,-0.6453853428816091,1,-0.6843894651128174,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
214,0.4190774869724608,0.028690014792298824,2,-0.3906517361468296,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
216,0.9871293630015773,-0.6663996825692847,0,-0.23735287810197908,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
217,-0.8590392340930515,-1.2321703664682484,0,-0.8947641801111418,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
218,-0.930045718596691,-0.12972577669941052,1,-0.8188301872380249,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
219,-1.0720586876039702,-1.2143890021171382,0,0.9924793187342984,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
220,-0.3619938425675745,0.4813065619114705,1,-0.6835803600845866,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
221,0.9871293630015773,0.4085646168387461,0,-0.2198781954461347,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
222,-0.5040068115748536,0.012525138109471635,3,-0.6634491508559164,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
223,-1.427091110122168,0.6591202054225724,0,1.8023816648806832,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
225,1.1291423320088565,0.51040333994056,3,-0.101098131529788,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
226,-0.7880327495894119,1.1860951852827508,0,-0.8775804672672209,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
228,0.13505154895790247,0.14750185841108168,1,-0.48768206760196037,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
229,0.5610904559797399,-0.8506792767535187,2,-0.3317553907919958,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
230,0.20605803346154206,0.8846202351480171,1,-0.48054437542791384,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
232,-1.427091110122168,-2.088908830658108,0,-0.9578963865040198,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
234,-0.006961420049376656,-1.00424560524038,2,-0.5417975378430621,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
235,0.06404506445426292,-1.3744212812771313,2,0.5216711018927956,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
236,-1.4980975946258075,-0.6453853428816091,0,-0.9672514405159588,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
237,-0.5750132960784932,1.2394392783360815,2,-0.7294515450732563,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
238,-1.427091110122168,-0.2671272285034448,0,0.3469952201566102,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
239,0.34807100246882117,1.1860951852827508,1,-0.504844471945117,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
240,-1.1430651721076097,0.9614033993914481,2,2.1140556145368987,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
242,1.1291423320088565,-0.6340699292036298,1,1.8341602325785493,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
243,0.06404506445426292,0.7399445888367101,3,-0.5011535372934569,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
244,1.697194208037973,-0.4821200883850513,0,1.3633965343437575,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
245,1.058135847505217,-0.11356090001658332,0,0.9419294141651308,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
246,1.4841747545270543,1.1860951852827508,0,-0.04585093060994813,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
248,-1.427091110122168,-1.5877976534904548,1,-0.949185164061514,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
249,-0.7170262650857724,-0.28248386135213077,1,-0.7647483145272286,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
250,-1.4980975946258075,-2.1713497017405285,2,-0.03075570138177924,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
252,1.058135847505217,0.5637474329938906,2,2.594185585168532,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
255,1.1291423320088565,-0.8660359096022052,3,-0.01255998298824213,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
256,1.200148816512496,0.4699911482334912,0,2.5658271817502607,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
257,-0.07796790455301622,1.5239411079538459,0,-0.651134524389424,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
258,0.8451163939942982,-1.0196022380890668,4,-0.14010470136272818,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
259,-1.427091110122168,0.19357175695714018,0,1.7164191557929547,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
261,-1.3560846256185284,-0.6276039785304989,1,0.324662616894657,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
262,0.9161228784979377,-1.0349588709377526,3,0.9747801898776169,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
263,-1.427091110122168,1.007473297937506,0,1.9226237809065827,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
264,0.9871293630015773,1.1860951852827508,3,0.6067490898106904,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
